#sasa rg tau2
33.2806 1.217 10.795
28.3807 0.962 28.708
32.8688 1.163 19.300
31.1192 1.077 20.096
35.881 1.397 5.560
33.1675 1.035 12.139
32.5466 1.124 13.727
31.3708 1.347 19.945
29.5391 1.005 27.533
33.5725 1.421 10.253
38.9953 1.545 7.283
32.1187 1.371 17.704
32.1157 1.365 14.913
37.3963 1.700 7.045
31.0341 1.314 8.970
34.381 1.429 10.444
33.544 1.494 7.227
32.2722 1.218 13.681
33.7804 1.056 6.859
35.5347 1.385 6.723
30.5717 1.078 18.504
31.9998 1.254 11.895
29.7575 1.152 26.878
35.8061 1.253 12.350
33.8893 1.466 5.545
32.3504 1.182 8.614
32.681 1.228 9.608
31.3971 0.963 27.588
38.1482 1.323 3.960
31.7295 1.031 12.914
34.547 1.090 11.791
32.1375 1.033 18.539
34.413 1.347 9.353
32.768 0.985 9.853
35.6744 1.374 9.166
33.0205 1.152 15.457
37.5348 1.695 5.415
35.719 1.188 6.540
36.7533 1.479 10.235
37.9505 1.521 5.290
34.3864 1.394 7.288
31.6133 1.125 24.936
32.4841 1.030 13.384
39.289 1.720 5.286
31.9115 1.071 10.352
32.4485 1.096 12.486
39.0901 1.784 5.434
36.0839 1.188 9.216
35.0026 1.455 6.785
33.8531 1.063 14.701
39.4756 1.769 5.100
37.2613 1.612 5.047
32.0758 1.185 15.386
33.3068 1.232 11.452
33.9324 1.173 9.739
35.866 1.247 6.035
32.5866 1.120 20.305
32.5825 1.325 6.490
36.1584 1.304 8.262
33.048 1.309 22.457
35.1327 1.329 6.140
30.6594 1.051 14.095
33.1694 1.197 8.485
36.9161 1.396 9.401
33.1974 1.221 7.117
33.0082 1.247 9.341
36.2032 1.582 6.054
34.8209 1.259 10.111
35.9024 1.511 3.950
35.9967 1.228 9.211
32.3428 1.076 8.107
38.0694 1.494 3.993
30.0212 0.923 18.773
32.2477 1.047 10.883
31.9293 1.042 15.496
37.8612 1.533 3.746
37.3713 1.643 5.712
36.3792 1.347 6.083
29.5406 0.994 14.904
37.0472 1.346 9.244
36.5521 1.284 3.467
39.862 1.743 5.383
33.6909 1.301 13.620
29.8448 0.989 14.078
37.1688 1.462 4.742
38.292 1.308 5.991
38.1922 1.583 5.935
32.0557 1.043 14.471
35.8475 1.310 5.233
31.1689 1.261 8.676
33.8683 1.112 10.623
33.8164 1.169 16.891
37.5202 1.381 6.611
38.3623 1.580 4.214
35.2433 1.255 9.831
37.4758 1.756 6.994
35.8081 1.252 8.002
29.2095 0.940 14.090
35.9374 1.154 6.013
38.5388 1.678 3.974
37.5476 1.406 5.653
37.1059 1.464 6.242
37.4424 1.448 8.600
34.5643 1.090 9.604
38.0236 1.526 5.010
32.9325 1.072 8.734
31.9624 1.005 12.918
36.3883 1.312 7.593
38.4627 1.700 4.673
36.3232 1.288 3.862
37.8069 1.692 4.721
38.3925 1.578 5.050
34.7874 1.290 4.534
36.1024 1.154 4.475
33.1446 1.188 9.012
38.2434 1.769 3.920
33.4987 1.117 7.515
33.8082 1.454 9.939
37.4705 1.617 4.604
36.6718 1.124 5.917
32.4012 1.191 13.867
37.7272 1.497 5.228
37.6483 1.670 3.957
32.4213 1.099 13.412
38.3157 1.536 5.718
39.2248 1.864 4.238
