#sasa rg tau2
27.3786 0.957 13.790
30.7646 1.015 20.396
37.7171 1.723 6.790
27.0596 0.902 20.814
33.2049 1.065 15.755
31.5659 1.258 13.853
39.8501 1.799 6.862
34.5272 1.117 19.056
31.4298 1.015 18.674
36.8295 1.542 7.696
27.412 0.917 21.331
33.2719 1.320 9.725
34.4711 1.070 13.565
30.32 1.097 12.636
30.1584 0.906 19.692
38.2844 1.592 6.733
36.9286 1.417 6.783
35.2278 1.223 6.696
33.7322 1.040 17.258
36.1157 1.262 17.505
38.5682 1.474 4.534
29.798 1.106 14.742
33.9372 1.401 10.843
35.9975 1.499 8.978
32.6403 1.031 10.956
32.0114 1.024 14.672
35.8044 1.283 10.881
37.8116 1.666 7.285
34.7537 1.286 13.609
27.732 0.895 46.675
29.3367 0.953 23.255
34.6782 1.170 7.713
33.1555 1.222 23.790
40.8274 1.857 5.818
31.9513 1.010 17.925
32.8279 1.057 12.607
35.6283 1.210 6.294
36.0357 1.157 8.365
32.0344 1.057 15.586
36.2108 1.242 6.926
38.1205 1.840 6.894
37.9212 1.747 7.496
36.7725 1.353 6.598
37.6927 1.730 6.445
34.3205 1.293 11.640
34.4966 1.289 8.880
36.8541 1.376 12.270
38.4025 1.666 5.483
31.8273 1.061 11.218
37.5245 1.603 6.155
29.3341 1.003 24.098
34.3004 1.473 8.454
36.7423 1.609 9.132
34.4334 1.239 7.947
35.6462 1.302 13.059
33.2377 1.237 10.730
37.3257 1.465 6.848
37.1416 1.528 7.046
33.8099 1.181 9.274
