#avg_rmsd avg_rg tau2
0.757283 0.918 9.905
0.211031 0.730 28.238
0.221362 0.727 21.239
0.230189 0.728 20.358
0.562744 0.795 14.006
0.0810262 0.713 51.382
0.65999 0.761 11.543
0.368746 0.756 15.917
0.479839 0.811 13.738
0.465283 0.875 9.990
0.59307 0.875 12.237
0.333471 0.752 20.678
0.543523 0.889 10.867
0.44411 0.732 8.270
0.330919 0.745 19.929
0.238683 0.777 13.551
0.277859 0.769 26.626
0.630284 0.798 16.564
0.585194 0.830 9.527
0.301154 0.770 6.989
0.655332 0.873 13.221
0.796447 0.999 6.457
0.536398 0.823 12.142
0.58539 0.817 7.320
0.493719 0.750 12.930
0.595324 0.806 27.666
0.540915 0.931 7.700
0.565344 0.914 17.282
0.645386 0.845 12.942
0.687166 0.916 13.737
0.548802 0.826 15.377
0.496929 0.870 14.778
0.654726 0.857 15.792
0.397685 0.845 18.827
0.425312 0.837 9.780
0.831667 1.032 5.254
0.587602 0.803 14.421
0.524714 0.820 16.986
0.911527 1.297 5.247
0.697947 0.986 9.385
0.482276 0.926 10.938
0.769085 1.132 14.507
0.437944 0.804 15.808
0.566351 0.898 11.768
0.542523 0.866 13.310
0.830385 1.243 3.016
0.592863 0.882 11.398
0.531726 0.847 18.876
0.681478 0.906 9.316
0.557182 0.878 9.975
0.56964 0.810 9.325
0.756805 0.918 19.466
0.674264 0.915 6.191
0.735658 0.899 6.413
0.406179 0.816 8.484
0.697283 0.999 6.517
0.540636 0.932 14.528
0.60223 1.023 3.640
0.603426 0.815 13.490
0.405421 0.812 13.916
0.922159 1.364 3.130
0.592753 0.820 6.627
0.864773 1.251 3.190
0.559294 0.857 16.472
0.270273 0.734 19.673
0.832311 1.200 3.286
0.912076 1.328 4.309
0.642641 0.977 5.620
0.607542 0.918 7.413
0.570824 0.830 10.614
