#avg_rmsd avg_rg tau2
0.557851 0.920 10.647
0.179363 0.715 22.926
0.441289 0.793 16.566
0.149125 0.731 19.100
0.105003 0.707 47.280
0.710017 0.845 18.602
0.742256 0.817 17.916
0.92493 1.222 5.108
0.54454 0.808 14.134
0.611291 0.793 15.138
0.676565 0.827 16.333
0.70712 1.032 13.733
0.503337 0.748 14.594
0.503007 0.795 17.338
0.438761 0.840 11.146
0.313718 0.756 19.443
0.582023 0.847 17.018
0.663464 0.814 14.198
0.654402 0.762 19.007
0.737065 0.916 18.529
0.554642 0.931 7.851
1.00978 1.429 4.606
0.718189 0.880 17.735
0.424891 0.774 25.470
0.724961 0.938 7.806
0.663001 0.792 17.756
0.200473 0.718 18.801
0.643528 1.115 6.098
0.614355 0.893 16.028
0.410142 0.825 11.140
0.536973 0.895 16.781
0.571437 0.882 14.520
0.590377 0.824 24.745
0.652918 1.095 5.799
0.796184 1.212 5.188
0.582961 0.805 21.025
0.604596 0.852 21.409
0.815308 1.226 5.876
0.498221 0.817 16.625
0.543616 0.891 18.993
0.593637 0.844 21.824
